"Gene","Drug","Drug_Concept_ID","Interaction_Score","Interaction_Type","Directionality","Sources","PubMed_IDs","Program"
"AURKB","TOZASERTIB","ncit:C98053",0.0581670214211898,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","DTC; TdgClinicalTrial; GuideToPharmacology; TALC; ChEMBL","23808327; 19035792","Proliferation"
"AURKB","AT9283","drugbank:DB05169",0.211516441531599,"inhibitor","INHIBITORY","TdgClinicalTrial; MyCancerGenome; TALC; TTD",NA,"Proliferation"
"AURKB","PF-03814735","drugbank:DB13059",0.581670214211898,"inhibitor","INHIBITORY","MyCancerGenome; TALC",NA,"Proliferation"
"AURKB","TOZASERTIB LACTATE","ncit:C61319",0.193890071403966,NA,NA,"TTD",NA,"Proliferation"
"AURKB","SNS-314","chembl:CHEMBL482767",0.013849290814569,"inhibitor","INHIBITORY","ChEMBL",NA,"Proliferation"
"AURKB","PD166285","iuphar.ligand:8183",0.0107716706335537,NA,NA,"DTC",NA,"Proliferation"
"AURKB","MK-5108","iuphar.ligand:8061",0.193890071403966,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","GSK2646264","iuphar.ligand:10108",0.0727087767764873,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","DACTOLISIB","ncit:C74072",0.013219777595725,NA,NA,"DTC",NA,"Proliferation"
"AURKB","GW441756X","chembl:CHEMBL1516890",0.00894877252633689,NA,NA,"DTC",NA,"Proliferation"
"AURKB","MK-6592","chembl:CHEMBL3545378",0.193890071403966,"inhibitor","INHIBITORY","ChEMBL",NA,"Proliferation"
"AURKB","VANDETANIB","rxcui:1098413",0.0103869681109268,NA,NA,"DTC",NA,"Proliferation"
"AURKB","G&OUML; 6976","iuphar.ligand:5973",0.0126450046567804,NA,NA,"DTC",NA,"Proliferation"
"AURKB","NIK INHIBITOR 12F","iuphar.ligand:10947",0.083095744887414,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","AR-AO-14418","drugbank:DB01950",0.096945035701983,NA,NA,"DTC",NA,"Proliferation"
"AURKB","ILORASERTIB","ncit:C116729",0.0221588653033104,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","DTC; GuideToPharmacology; TTD; ChEMBL",NA,"Proliferation"
"AURKB","VIC 1911","iuphar.ligand:12070",0.290835107105949,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","DUBERMATINIB","ncit:C127116",0.096945035701983,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","DOVITINIB","ncit:C76199",0.00639198037595492,NA,NA,"DTC",NA,"Proliferation"
"AURKB","KENPAULLONE","iuphar.ligand:6000",0.0123759620045085,NA,NA,"DTC",NA,"Proliferation"
"AURKB","COMPOUND 1 [PMID: 21742770]","iuphar.ligand:8190",0.290835107105949,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","SP-600125","chembl:CHEMBL1725279",0.0130712407688067,NA,NA,"DTC","23634759","Proliferation"
"AURKB","AT-9283","iuphar.ligand:7949",0.096945035701983,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","FASUDIL","ncit:C65624",0.0215433412671073,NA,NA,"DTC",NA,"Proliferation"
"AURKB","EUPATORIN","iuphar.ligand:13862",0.096945035701983,NA,NA,"DTC",NA,"Proliferation"
"AURKB","CHEMBL:CHEMBL535331","chembl:CHEMBL535331",0.064630023801322,NA,NA,"DTC",NA,"Proliferation"
"AURKB","LAS38096","iuphar.ligand:5617",0.0528791103828998,NA,NA,"DTC",NA,"Proliferation"
"AURKB","COMPOUND 38 [PMID: 20817473]","iuphar.ligand:8768",0.145417553552975,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","LINIFANIB","ncit:C71759",0.0083095744887414,NA,NA,"DTC",NA,"Proliferation"
"AURKB","ENMD-2076","iuphar.ligand:7885",0.0232668085684759,"inhibitor","INHIBITORY","ChEMBL",NA,"Proliferation"
"AURKB","AURORA B/C KINASE INHIBITOR GSK1070916A","ncit:C91081",0.290835107105949,NA,NA,"TTD",NA,"Proliferation"
"AURKB","AURORA KINASE INHIBITOR II","iuphar.ligand:5930",0.290835107105949,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","NVP-TAE684","iuphar.ligand:5714",0.00564728363312522,NA,NA,"DTC",NA,"Proliferation"
"AURKB","CEDIRANIB","ncit:C80867",0.011870820698202,NA,NA,"DTC",NA,"Proliferation"
"AURKB","BMS-345541","iuphar.ligand:5669",0.0581670214211898,NA,NA,"DTC",NA,"Proliferation"
"AURKB","CDK2 INHIBITOR IV","iuphar.ligand:5949",0.0727087767764873,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","CYC116","drugbank:DB05198",0.436252660658923,"inhibitor","INHIBITORY","TdgClinicalTrial; TALC; TTD",NA,"Proliferation"
"AURKB","TAK-901","drugbank:DB12756",0.581670214211898,NA,NA,"TTD",NA,"Proliferation"
"AURKB","ENTRECTINIB","rxcui:2197862",0.0102047406002087,NA,NA,"DTC",NA,"Proliferation"
"AURKB","ALISERTIB","ncit:C71717",0.0371278860135254,NA,NA,"DTC; CIViC","36169922","Proliferation"
"AURKB","PAZOPANIB","rxcui:714438",0.011870820698202,NA,NA,"DTC",NA,"Proliferation"
"AURKB","ERLOTINIB","rxcui:337525",0.0102047406002087,NA,NA,"DTC",NA,"Proliferation"
"AURKB","DANUSERTIB","ncit:C61587",0.484725178509915,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","MyCancerGenome; GuideToPharmacology; TALC; TTD; ChEMBL",NA,"Proliferation"
"AURKB","BELUMOSUDIL","rxcui:2564025",0.0581670214211898,NA,NA,"DTC",NA,"Proliferation"
"AURKB","TTP-607","chembl:CHEMBL3545327",0.193890071403966,"inhibitor","INHIBITORY","ChEMBL",NA,"Proliferation"
